Title,Author,ISBN Valid,Publisher,Subjects,i,Publication_Date,Category
Classification décimale universelle : édition abrégée /,UDC Consortium (The Hague),9782871303336,Ed du CEFAL,Classification décimale universelle; Indexation (documentation); classification décimale universelle;[tables]; Book Classification; Reference Books; Outline,0,,Classification; Indexation; Tables
Les interactions dans l'enseignement des langues : agir professoral et pratiques de classe /,"Cicurel, Francine, 1947-",9782278058327,Didier,didactique;langue étrangère - enseignement; didactique;langue - enseignement,1,2011,Education; Language
Histoire de vie et recherche biographique : perspectives sociohistoriques /,"Aneta Slowik, Hervé Breton, Gaston Pineau",9782343190198,L'Harmattan,Histoires de vie en sociologie; Sciences sociales;Méthodologie; Actes de congrès,2,2020,History; Science; Social Science; Sociology
"Ce livre devrait me permettre de résoudre le conflit au Proche-Orient, d'avoir mon diplôme, et de trouver une femme /","Mazas, Sylvain, 1980-",9782365350020,Vraoum!,Moyen-Orient; Bandes dessinées autobiographiques; Bandes dessinées,3,2012,Comics
Les années glorieuses : roman /,"Lemaitre, Pierre, 1951-",9782702180815,Calmann-Lévy,France;1945-1975; Roman historique; Roman français; Littérature française,4,2022,Fiction; History; Literature
100 idées pour mieux gérer les troubles de l'attention /,"Lussier, Francine",9782353450428,Tom Pousse,Trouble déficitaire de l'attention avec ou sans hyperactivité; Enfants atteints de troubles de l'attention; Enfants hyperactifs; Guides pratiques,5,,Enfants; Guides; Trouble
La boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast /,"Bouchut, Fabienne",9782100806614,Dunod,Formateurs (éducation des adultes);Formation.; Personnel;Formation.; Animateurs de formation.; Guides pratiques.,6,2020,Animateurs; Formateurs; Formation; Personnel
L'autorité éducative dans la classe : douze situations pour apprendre à l'exercer /,"Robbes, Bruno",9782710121152,ESF éd,autorité;relation maître-élève; autorité;enseignement primaire,7,2010,Education
Un autre regard sur le climat /,Emma dessinatrice 1981-....,9791097160821,Massot,Climat;Détérioration; Bandes dessinées,8,2019,Comics
Le mirage de la croissance verte /,"Auffret, Anthony",9782413043591,Delcourt,Développement économique;Aspect environnemental; Développement durable;Aspect environnemental; Bandes dessinées,9,,Comics
Vieille fille : une proposition /,"Kock, Marie",9782348072765,La Découverte,Célibataires; Femmes; Jeunes femmes; Sociologie; Sexualité; [Récits personnels],10,2022,Sociology
Rendre les élèves acteurs de leurs apprentissages /,"Béal, Yves",9782206013725,Delagrave,apprentissage (psychologie);enfant; apprentissage (psychologie);didactique;élève;enseignement,11,2008,Education; Psychology
L'apprentissage par projets au secondaire : guide pratique pour planifier et réaliser des projets avec ses élèves /,"Larmer, John",9782765033202,Chenelière éducation,apprentissage (psychologie);enseignement secondaire;pédagogie du projet; Enseignement - Méthode des projets; Enseignement secondaire; Méthodes actives; Enseignement en équipe; Enseignement - Travail de groupe,12,,Education; Psychology
Pour une pédagogie du projet /,"Bordalo, Isabelle",9782011709219,Hachette éducation,Enseignement;Méthode des projets,13,2006,Education
Une classe qui coopère : pourquoi ? comment ? /,"Staquet, Christian",9782850084324,Chronique sociale,apprentissage (psychologie);classe (enseignement);coopération;élève,14,2007,Education; Psychology
Penser le projet : concepts et outils d'une pédagogie émancipatrice /,"Tilman, Francis",9782850085512,Chronique sociale,pédagogie de la maîtrise,15,2004,Education
Pays-Bas /,"Williams, Nicola",9782816195590,Lonely planet,Pays-Bas; Guides touristiques et de visite,16,2022,Guides
Amsterdam : balades urbaines /,"Vanderhaeghe, Katherine",9782016256336,Hachette,Amsterdam (Pays-Bas); Guides touristiques et de visite,17,,Amsterdam; Guides
"Amsterdam : + Rotterdam, Delft et La Haye : 2024-2025 /",Le Routard,9782017884026,Hachette Livre,"Amsterdam (Pays-Bas); Amsterdam (Pays-Bas, région); Rotterdam (Pays-Bas); Delft (Pays-Bas); La Haye (Pays-Bas); [Guides touristiques et de visite]",18,2023,Amsterdam; Delft; Rotterdam
Pays-Bas,Manufacture française des pneumatiques Michelin,9782067257863,Michelin,Pays-Bas; Guides touristiques et de visite,19,2023,Guides
Amsterdam /,"Catling, Christopher",9782822902526,National geographic,Amsterdam (Pays-Bas); [Guides touristiques et de visite],20,2020,Amsterdam; Guides
Histoire des Etats-Unis /,"Durpaire, François",9782715413801,Presses Universitaires de France,États-Unis;Histoire,21,2023,History
"C'est psy ? Non, hormonal ! : comprendre ses hormones pour se sentir mieux /","Gluck, Marion",9782035993250,Larousse,Santé mentale; Hormones femelles; Femmes;Santé et hygiène,22,2020,Femmes; Hormones; Santé
C'est mon corps : toutes les questions que se posent les femmes sur leur santé /,"Winckler, Martin",9782378801267,L'Iconoclaste,Women's Health; Sexuality; Reproductive Physiological Phenomena; Contraception; Professional-Patient Relations; Sexualité féminine; Vie sexuelle;Femmes; Féminité; Femmes;Santé et hygiène; Gynécologie; Guides pratiques,23,2020,Contraception; Professional; Reproductive; Sexuality; Women
Le sentiment de justice dans les relations sociales /,"Kellerhals, Jean, 1941-",9782130486855,Presses universitaires de France,justice;relations sociales; justice distributive;relations sociales; justice sociale; équité;groupe;justice;norme sociale,24,1997,Justice; Relations
S'capade pédagogique avec les jeux d'évasion : apprendre grâce aux escape games : de la maternelle à la formation d'adultes /,"Fenaert, Mélanie",9782340035461,Ellipses,Gamification; Apprentissage par le jeu; Jeux éducatifs; Jeux d'évasion; [Guides pratiques],25,,Apprentissage; Gamification; Guides; Éducatifs; Évasion
"Pays basque : France, Espagne et Navarre",,9782067253407,Michelin,Pays basque (Espagne); Navarre française (France); Navarre (Espagne); Pays basque (France); Guides touristiques et de visite,26,2022,Basque; Guides; Navarre
Le rapport de Brodeck /,"Larcenet, Manu",9782205073850,,Bandes dessinées,27,2015,Comics
Hanbok /,"Darcq, Sophie, 1976-.....",9782367310251,L'Apocalypse,Bandes dessinées; Adoption internationale;Bandes dessinées.; Récits de voyages français;Corée;2000-....; Bandes dessinées autobiographiques;France;2000-....; Bandes dessinées autobiographiques.,28,2023,Comics
Philosophia : une histoire de la philosophie en BD /,"Tenaillon, Nicolas",9782340027787,Ellipses,Philosophes; Philosophie; Philosophie;Histoire; Bandes dessinées,29,2018,Comics; History; Philosophy
