book_id,users_borrowed,dates_borrowed,total_borrows
0,"0, 224, 6018, 6018","30-03-2023, 23-10-2023, 18-04-2024, 18-04-2024",4
1,"0, 2369, 2369, 2369","06-04-2023, 15-05-2023, 16-08-2023, 21-09-2023",4
2,"1633, 0, 1741","10-02-2023, 06-04-2023, 13-06-2024",3
3,"2251, 3668, 3668, 7038, 7038, 0, 0, 3473","03-02-2023, 24-02-2023, 07-03-2023, 25-04-2023, 25-04-2023, 10-05-2023, 10-05-2023, 29-06-2023",8
4,"3299, 82, 1808, 4955, 1050, 82, 329, 1539, 1860, 1149, 605, 987, 2293, 2481, 2187, 1808, 767, 1603, 2115, 603, 6185, 1284, 573, 573, 767, 0, 7053, 2301, 2867, 6124, 2118, 274, 986, 274, 4125","03-01-2023, 20-01-2023, 23-01-2023, 01-02-2023, 15-02-2023, 15-02-2023, 17-02-2023, 18-02-2023, 23-02-2023, 23-02-2023, 25-02-2023, 06-03-2023, 08-03-2023, 23-03-2023, 23-03-2023, 27-03-2023, 27-03-2023, 27-03-2023, 29-03-2023, 05-04-2023, 05-04-2023, 05-04-2023, 27-04-2023, 11-05-2023, 17-05-2023, 12-06-2023, 30-06-2023, 26-07-2023, 13-10-2023, 31-10-2023, 24-01-2024, 04-03-2024, 05-04-2024, 13-05-2024, 19-09-2024",35
5,"4503, 0, 591, 880, 4835, 6439, 4794, 6558","21-04-2023, 17-06-2023, 03-07-2023, 28-08-2023, 28-08-2023, 09-10-2023, 24-11-2023, 07-05-2024",8
6,"5260, 0, 1852, 846, 880","06-06-2023, 17-06-2023, 06-07-2023, 18-10-2023, 09-11-2023",5
7,"4416, 6418, 0, 650, 5064","13-02-2023, 28-04-2023, 17-06-2023, 23-08-2023, 22-02-2024",5
8,"4650, 4118, 5321, 769, 3974, 0, 5903, 5108, 7702","13-01-2023, 14-03-2023, 06-04-2023, 18-04-2023, 28-04-2023, 20-06-2023, 20-06-2023, 25-07-2023, 22-07-2024",9
9,"2187, 2377, 6086, 703, 1708, 5117, 0, 1679","07-02-2023, 07-02-2023, 10-02-2023, 06-03-2023, 15-03-2023, 17-04-2023, 21-06-2023, 09-01-2024",8
