i,Title,Author,Publisher,Subjects
261,Controverses ; et Suasoires /,"Seneca, Lucius Annaeus, l'Ancien",Garnier frères,
264,Controverses ; et Suasoires /,"Seneca, Lucius Annaeus, l'Ancien",Garnier,
269,"Oeuvres / Poésies de jeunesse, poésies diverses ... ;","Baudelaire, Charles",puis Gallimard; La Pléiade,
367,L'hallucination /,"Quercy, Pierre",F Alcan,
393,Les droits réels dans le Code civil suisse /,"Wieland, Karl, 1864-1936",M Giard et E Brière,droits réels--* droit civil--Suisse; Sachenrecht; Schweiz; Grundlagenwerk
397,Le droit d'habitation : présentation générale fondée sur le droit d'habitation constitué à l'occasion d'actes translatifs de propriété convenus dans un contexte familial /,"Mooser, Michel",M Mooser,droit d'habitation--Suisse; Wohnrecht; Schweiz
398,Der allgemeine Teil des deutschen bürgerlichen Rechts /,"Tuhr, Andreas von",Duncker und Humblot,droit civil--Allemagne fédérale--[manuel]
401,Kommentar der schweizerischen Bundesverfassung vom 29. Mai 1874 /,"Burckhardt, Walther",Stämpfli,droit constitutionnel--Suisse--[manuel]; Verfassungsrecht; Bundesrecht; Bundesverfassung; Schweiz; Textreproduktion; Kommentar(Werk)
613,Les sources du droit du canton de Genève = Die Rechtsquellen des Kantons Genf /,,HR Sauerländer,"Droit--Genève (Suisse, canton)--15e siècle; Droit--Genève (Suisse, canton)--16e siècle; Droit; Droit--Genève (Suisse, canton)--17e siècle; Histoire; Rechtsgeschichte; Rechtsquelle; kantonales Recht; Stadtrecht; Landschaft; Genève (Suisse, canton); Schweiz; Genf(Kanton); Genf(Stadt); Sources; [Sources]"
633,La paix des ruches : roman ; suivi de Comptez vos jours... /,"Rivaz, Alice 1901-1998",Société de la Feuille d'Avis,
646,"Lausanne, quelle aventure ! /","Corajoud, Caroline",Pierre Corajoud,"Promenade; Enfants; Lausanne (Suisse, VD); [Guides touristiques et de visite]"
669,La pensée européenne au XVIIIème siècle : de Montesquieu à Lessing /,"Hazard, Paul",Boivin,histoire des idées (discipline)--Europe--18e s.; philosophie européenne--18e s.
671,La responsabilité civile du notaire et son assurance : étude de droit vaudois /,"Aumeries, Sylvie d'",C Gloor-Luder; éditeur non identifié,assurance responsabilité civile--notaire--responsabilité professionnelle--Vaud (Suisse); Verfassungsrecht; Staatsorganisation und Verwaltung; Notar; Zivilrecht; Versicherungsrecht; Sachversicherung; Berufs-Haftpflichtversicherung; Zwangsvollstreckung; Rechtsanwalt; Schweiz; Waadt
808,La chambre claire : note sur la photographie /,"Barthes, Roland, 1915-1980",Seuil; Gallimard,photographie--* esthétique; image--* sémiologie
1144,La protection de l'investisseur sur le marché financier : analyse critique du droit suisse dans une perspective de droit européen /,"Lombardini, Carlo juriste",Schulthess,Kapitalmarkt; Bank; Anlage(Investition); Finanzintermediär; Rechtsvergleichung; Gemeinschaftsrecht; droit bancaire--investissement - protection--marché financier--Union européenne--* droit comparé--Suisse; Schweiz
1178,Sancti Ambrosii opera.,"Ambrosius, évêque de Milan, saint",Hoelder-Pichler-Tempsky,"Ambroise--(saint)--[correspondance]; tradition manuscrite--Ambroise (saint). ""Lettres"""
1226,Matériaux pour servir à l'histoire du doctorat H.C. décerné à Benito Mussolini en 1937 /,,Univ de Lausanne,"doctorat ""honoris causa""--Mussolini, Benito--Université de Lausanne--1937--[document]"
1253,La Swiss-South African Association (1956-2000) : un organe du capital helvétique en Afrique du Sud /,"Gygax, David",Chaire d'histoire contemporaine de l'Université de Fribourg,Swiss-South African Association (Zurich)--1956 / 2000; Swiss-South African Association (Zurich); relations économiques internationales--Afrique du sud (république)--Suisse--1956 / 2000; Relations économiques extérieures; 20e siècle (2e moitié); Suisse; Afrique du Sud (république)
1264,Recherches sur l'histoire du vignoble au Moyen-Age dans la partie méridionale de l'ancien diocèse de Lausanne /,"Courtieu-Capt, Anne-Marie",Ecole nationale des Chartes,vignoble--Vaud (Suisse)--Moyen-Âge
1310,Murmures : poèmes /,"Faïk-Nzuji Madiya, Clémentine",ONRD; Editions Lettres Congolaises,
1321,"Loi fédérale sur le contrat d'assurance : accompagnée d'autres textes, complets ou en extraits, relatifs à l'assurance privée /",,Olivier Carré,assurances privées--contrat d'assurance--Suisse--[manuel]; Privatversicherung; Versicherungsvertrag; Bundesgesetz über den Versicherungsvertrag; Schweiz; Textreproduktion; Kommentar(Werk)
1345,YYYY Prêt interbibliothèques BPUL,,,
